NAME,NAT_TEAM,CLUB,LEAGUE,POS,ROLE,AGE_GR,AGE_EX,MATCHES,GOALS,ASSISTS,Y-CARDS,R-CARDS,MINUTES,N-CAPS,N-GOALS
Arkadiusz Milik,Poland,SSC Napoli,Italy,FW,Centre-Forward,21-25,24,1,0,0,0,0,73,40,12
Karol Linetty,Poland,UC Sampdoria,Italy,MF,Central Midfield,21-25,23,0,0,0,0,0,0,20,1
Robert Lewandowski,Poland,Bayern Munich,Germany,FW,Centre-Forward,26-30,29,3,0,0,0,0,270,95,55
Grzegorz Krychowiak,Poland,West Bromwich Albion,England,MF,Defensive Midfield,26-30,28,3,1,0,1,0,270,51,2
Kamil Grosicki,Poland,Hull City,England,FW,Right Winger,26-30,30,3,0,1,0,0,213,57,12
Bartosz Bialkowski,Poland,Ipswich Town,England,GK,Goalkeeper,31-35,31,0,0,0,0,0,0,1,0
Maciej Rybus,Poland,Lokomotiv Moscow,Russia,MF,Left Midfield,26-30,28,2,0,0,0,0,180,51,2
Lukasz Teodorczyk,Poland,RSC Anderlecht,Belgium,FW,Centre-Forward,26-30,27,2,0,0,0,0,27,17,4
Kamil Glik,Poland,AS Monaco,France,DF,Centre-Back,26-30,30,2,0,0,0,0,100,57,4
Jakub Blaszczykowski,Poland,VfL Wolfsburg,Germany,MF,Right Midfield,31-35,32,1,0,0,0,0,45,99,20
Slawomir Peszko,Poland,Lechia Gdansk,Poland,FW,Left Winger,31-35,33,1,0,0,0,0,10,43,2
Bartosz Bereszynski,Poland,UC Sampdoria,Italy,DF,Right-Back,21-25,25,3,0,0,0,0,170,8,0
Piotr Zielinski,Poland,SSC Napoli,Italy,MF,Central Midfield,21-25,24,3,0,0,0,0,260,33,5
Lukasz Piszczek,Poland,Borussia Dortmund,Germany,DF,Right-Back,31-35,33,2,0,0,0,0,173,63,3
Rafal Kurzawa,Poland,Gornik Zabrze,Poland,FW,Left Winger,21-25,25,1,0,1,0,0,80,3,0
Lukasz Fabianski,Poland,Swansea City,England,GK,Goalkeeper,31-35,33,1,0,0,0,0,90,45,0
Dawid Kownacki,Poland,UC Sampdoria,Italy,FW,Centre-Forward,21-25,21,2,0,0,0,0,74,2,1
Abdoulaye Diallo,Senegal,Stade Rennais FC,France,GK,Goalkeeper,26-30,26,0,0,0,0,0,0,17,0
Adama Mbengue,Senegal,SM Caen,France,DF,Left-Back,21-25,24,0,0,0,0,0,0,6,0
Kalidou Koulibaly,Senegal,SSC Napoli,Italy,DF,Centre-Back,26-30,27,3,0,0,0,0,270,26,0
Kara Mbodji,Senegal,RSC Anderlecht,Belgium,DF,Centre-Back,26-30,28,0,0,0,0,0,0,52,5
Idrissa Gueye,Senegal,Everton FC,England,MF,Central Midfield,26-30,28,3,0,1,1,0,270,61,1
Salif Sane,Senegal,Hannover 96,Germany,DF,Centre-Back,26-30,27,3,0,0,1,0,270,22,0
Moussa Sow,Senegal,Bursaspor,Turkey,FW,Centre-Forward,31-35,32,0,0,0,0,0,0,51,18
Cheikhou Kouyate,Senegal,West Ham United,England,MF,Defensive Midfield,26-30,28,3,0,0,0,0,118,48,2
Mame Biram Diouf,Senegal,Stoke City,England,FW,Centre-Forward,26-30,30,2,0,0,0,0,64,49,10
Sadio Mane,Senegal,Liverpool FC,England,FW,Left Winger,26-30,26,3,1,0,0,0,270,53,14
Cheikh N'Doye,Senegal,Birmingham City,England,MF,Central Midfield,31-35,32,2,0,0,1,0,39,26,3
Youssouf Sabaly,Senegal,FC Girondins Bordeaux,France,DF,Right-Back,21-25,25,3,0,1,1,0,254,5,0
Alfred N'Diaye,Senegal,Wolverhampton Wanderers,England,MF,Defensive Midfield,26-30,28,2,0,0,0,0,152,21,0
Moussa Konate,Senegal,SC Amiens,France,FW,Centre-Forward,21-25,25,2,0,0,0,0,24,28,10
Diafra Sakho,Senegal,Stade Rennais FC,France,FW,Centre-Forward,26-30,28,1,0,0,0,0,4,12,3
Khadim N'Diaye,Senegal,Horoya AC,Guinea,GK,Goalkeeper,31-35,33,3,0,0,0,0,270,26,0
Badou Ndiaye,Senegal,Stoke City,England,MF,Central Midfield,26-30,27,1,0,0,0,0,81,20,1
Ismaila Sarr,Senegal,Stade Rennais FC,France,FW,Left Winger,15-20,20,3,0,0,0,0,270,16,3
M'Baye Niang,Senegal,Torino FC,Italy,FW,Centre-Forward,21-25,23,3,1,1,2,0,248,7,0
Keita Balde,Senegal,AS Monaco,France,FW,Left Winger,21-25,23,1,0,0,0,0,80,19,3
Lamine Gassama,Senegal,Alanyaspor,Turkey,DF,Right-Back,26-30,28,1,0,0,0,0,90,36,0
Moussa Wague,Senegal,KAS Eupen,Belgium,DF,Right-Back,15-20,19,3,1,0,0,0,196,10,0
Alfred Gomis,Senegal,SPAL 2013,Italy,GK,Goalkeeper,21-25,24,0,0,0,0,0,0,1,0
